A128,A129,A130,A154,A347,A360,A361,A362,PMI,EVI_t0,EVI_5yr_diff,EVI.D.yr1,EVI.D.yr2,EVI.D.yr3,EVI.D.yr4,EVI.D.yr5,EVI.D.pre.5cell,forest.pre,pop.den.5km.pre,dist.disturb.pre,wave,rain_5yr_diff,rain_yr1_diff,rain_yr2_diff,rain_yr3_diff,rain_yr4_diff,rain_yr5_diff,distance,weights
18903,1110,13632,0,1,6,863.931396,4.526895,1,4781.688477,861.121093000001,1473.894531,-474.595703,-24.9750979999999,306.043457000001,-419.246094,229.562012,834413,0.340998,4637,three,0.239293,5.088716,-8.547204,-0.0353950000000003,0.641473,3.091703,0.0382098979720303,1
19739,2040,13414,0,1,6,905.800049,4.408187,1,4426.907715,717.461426,1357.070801,-386.720704,82.8554690000001,377.777344,-713.521484,327.55957,808606,0.387498,3709,three,0.190646,5.044145,-8.54528,-0.035466,0.642941,3.084306,0.050389780306615,1
20582,2970,13258,0,1,6,986,4.785389,1,4366.842773,1231.403321,1263.249024,-195.387695,-128.390625,-356.044922,647.977539,254.952149000001,860220,0.526997,2782,three,0.138684,4.99378,-8.540846,-0.0355770000000004,0.64413,3.077197,0.0393777331217001,1
21433,3900,13166,0,1,6,1050.286377,9.326838,1,5030.961914,568.72168,70.501953,283.723145,199.849120999999,-445.202149,459.84961,211.108886999999,860220,0.650997,1854,three,0.0835429999999997,4.937791,-8.533943,-0.0357260000000004,0.645041,3.07038,0.0180953720074721,1
22290,4830,13140,0,1,6,1214.390381,10.05634,0,3916.80127,2006.021972,527.552734,820.060547,-588.861817,117.235352,1130.035156,116.286620999999,843015,0.805996,927,three,0.0253560000000004,4.876348,-8.524615,-0.0359090000000002,0.645675,3.063857,0.0267546999015517,0.567264573991031
16216,2400,14184,0,1,6,808.88916,8.92968,0,4590.687012,557.535156,358.179198999999,722.258301000001,-391.053223,-531.866211,400.01709,-584.045898,860220,0.371998,8398,three,0.377829,5.136035,-8.49626,-0.0288499999999998,0.629817,3.137087,0.0446242515267932,0.567264573991031
16957,1500,13780,0,1,6,914.528625,13.183556,1,4557.146973,781.172851,1024.665039,-193.507324,504.987304,-811.654785000001,256.682617,-363.361329,851618,0.371998,7477,three,0.347305,5.127142,-8.511609,-0.0285830000000002,0.633164,3.127191,0.0368462050092569,1
17738,570,13387,0,1,6,757.122437,16.950266,1,4844.311523,320.932618,745.516114,173.19873,66.7387699999999,-447.971192,-216.549804,-131.453125,860220,0.371998,6558,three,0.273409,5.082045,-8.528408,-0.0282559999999998,0.638387,3.109641,0.0371159891741555,1
18532,342,13033,0,1,6,707.505615,9.933861,1,4950.98584,933.098144,936.991211,293.269043,-224.53125,-396.149414,323.518554,-11.8134770000006,860220,0.356498,5641,three,0.23007,5.04651,-8.530419,-0.0281940000000001,0.640324,3.101849,0.0378355320516773,1
19339,1263,12738,0,1,6,813.312622,4.483689,1,4654.696777,1282.450196,1260.207032,67.1826169999995,-181.321289,296.982422,-160.600586,107.708985,834413,0.325498,4729,three,0.183239,5.004967,-8.529879,-0.028181,0.641982,3.09435,0.0482421441664951,1
