x,y,A128,A129,A130,A347,A361,A362,PML,fl.5yr.postPML,fl.yr1,fl.yr2,fl.yr3,fl.yr4,fl.yr5,fl.pre.5cell,forest.pre,pop.den.5km.pre,dist.disturb.pre,id,distance,weights
887449,9712867,36242,3044,6125,0,334.5253601,22.8839283,1,0,0,0,0,0,0,974,860220,1.06561992515561,12057,two14756,0.0060384099339999,1
888377,9712867,36693,2121,5208,0,359.1045837,1.5593557,1,0,0,0,0,0,0,1948.0000534,851618,1.11405719448086,11129,two14757,0.000513184158037521,1
889304,9712867,37162,1200,4290,0,324.7814026,18.9838371,1,0,0,0,0,0,0,10714.0001068,860220,0.774996309204077,10202,two14758,0.00125756272267302,1
890232,9712867,37648,270,3373,0,300.8222046,13.890521,1,30194,11688,0,9740,2922,5844,10714.0001068,860220,0.435935423927293,9274,two14759,0.00049687517501295,1
880957,9711940,32769,6846,11166,0,280.375,1.8389283,0,0,0,0,0,0,0,13636.0002136,860220,5.47341143375379,16797,two14960,0.00770522251510989,0.64963503649635
881884,9711940,33086,6673,10331,0,294.3460083,6.8155785,1,0,0,0,0,0,0,3896,851618,4.89216420185074,16720,two14961,0.0096722765954775,1
882812,9711940,33425,6475,9514,0,319.0449524,0.5738217,1,0,0,0,0,0,0,0,860220,3.9718560846709,16694,two14962,0.00442204772003077,1
883739,9711940,33775,6391,8745,0,300.3756104,1.2990319,1,0,0,0,0,0,0,0,860220,3.14842250614156,15794,two14963,0.00374177092911839,1
884667,9711940,34157,5910,7980,0,300,0,1,0,0,0,0,0,0,0,860220,2.61561254356376,14868,two14964,0.00243325852349466,1
885594,9711940,34560,4991,7253,0,299.9375,0.3936935,1,0,0,0,0,0,0,0,860220,1.88905350368494,13943,two14965,0.00169300003760068,1
886522,9711940,34984,4077,6576,0,304.5134888,6.0648589,1,0,0,0,0,0,0,8766,860220,1.30780627178188,13017,two14966,0.00150799371650148,1
887449,9711940,35426,3173,5959,0,376.3147278,11.6098557,1,0,0,0,0,0,0,17532,851618,1.21093173313137,12092,two14967,0.00125657444117463,1
888377,9711940,35887,2289,5055,0,334.5258484,2.0282972,1,0,0,0,0,0,0,18505.9995652,860220,1.16249446380611,11168,two14968,0.000356907211654873,1
889304,9711940,36367,1462,4137,0,311.4640503,1.9177872,1,5844,0,974,4870,0,0,20453.9991302,859246,0.823433578529332,10244,two14969,0.000210318706859016,1
881884,9711013,32245,7554,9950,0,293.442627,3.7889714,0,7792,0,0,2922,1948,2922,3896,851618,5.47341143375379,15794,two15171,0.0088437374783462,0.324817518248175
882812,9711013,32593,7365,9099,0,288.3399048,8.1589384,1,0,0,0,0,0,0,0,860220,4.69841512454972,15767,two15172,0.0102044982867332,1
883739,9711013,32952,6999,8292,0,315.1148376,4.3224487,1,0,0,0,0,0,0,0,860220,3.92341881534564,15794,two15173,0.0046282228217657,1
884667,9711013,33344,6103,7480,0,314.3395081,4.2033014,1,0,0,0,0,0,0,0,860220,3.34217158344258,14955,two15174,0.00294705328940064,1
885594,9711013,33756,5218,6699,0,318.4909973,4.0527601,1,0,0,0,0,0,0,0,860220,2.56717527423851,14035,two15175,0.00191909397830186,1
