A128,A129,A130,A154,A347,A360,A361,A362,PML,EVI_t0,EVI_5yr_diff,EVI.D.yr1,EVI.D.yr2,EVI.D.yr3,EVI.D.yr4,EVI.D.yr5,EVI.D.pre.5cell,forest.pre,pop.den.5km.pre,dist.disturb.pre,rain_5yr_diff,rain_yr1_diff,rain_yr2_diff,rain_yr3_diff,rain_yr4_diff,rain_yr5_diff,distance,weights
6359,2347,21187,1,0,12,1144.363525,27.535469,1,4883.056641,225.370116999999,-46.1958009999998,349.484375,-114.708008000001,347.111816000001,-310.322265000001,-48.7705070000002,825811,8.379648,6221,0.319581,6.993877,1.700224,-8.579155,0.106576,0.0980590000000001,0.975890655831349,1
6736,1530,22115,1,0,12,1056.210571,26.944365,1,4644.20752,39.7216790000002,313.155761,109.06543,12.2602540000007,-136.223145,-258.536621,-19.966308,817209,7.701526,6688,0.327618,6.98602,1.743258,-8.614878,0.111026,0.102192,0.981410219770201,1
7214,606,22503,1,0,12,846.966003,16.994133,1,5343.20166,-516.173339999999,-219.606933,-112.908203999999,259.28125,-209.361816000001,-233.577636999999,23.4516599999997,851618,8.670271,7243,0.335497,6.978216,1.782128,-8.646429,0.115293,0.106289,0.937866182466126,1
7763,300,22394,1,0,12,751.475525,18.473974,1,5863.938477,-985.939453999999,-925.652832,309.489257,117.948730999999,-334.484375,-153.240234999999,54.7172850000006,834413,9.203081,7869,0.353167,6.930144,1.858672,-8.676614,0.127013,0.113952,0.920140926411304,1
8380,1213,22323,1,0,12,1016.801208,17.920332,1,5499.79834,228.842285,-30.5317380000006,311.884765000001,169.812011999999,-499.79541,277.472656,91.7241210000002,825811,9.39683,8550,0.361256,6.925607,1.872304,-8.686042,0.130805,0.118582,0.928500332452792,1
9043,2137,22292,1,0,12,940.882812,25.859669,1,5374.11084,-82.5717780000004,-213.682129000001,348.664062000001,-444.228515000001,115.794433,110.880371,93.1518560000004,834413,9.832766,9274,0.369346,6.921069,1.885938,-8.695472,0.134598,0.123213,0.969870673658027,1
9745,3065,22297,1,0,12,1212.215332,39.029449,1,5181.652832,-116.687011999999,371.896484,-12.8071279999995,60.763183,151.121094,-687.660645,64.7158200000003,817209,9.735891,10032,0.377435,6.916531,1.899572,-8.704901,0.13839,0.127843,0.992778186017688,1
10483,3994,22340,1,0,13,1435.775879,21.976803,1,5643.898926,-613.089844,-659.075683999999,269.964843999999,88.2416990000002,-202.354004,-109.866699,61.1879879999997,834413,9.39683,10816,0.385524,6.911992,1.913206,-8.714329,0.142182,0.132473,0.89359438098292,1
11249,4923,22346,1,0,13,1146.377808,17.333282,1,4695.459961,652.239746,513.60498,397.338379000001,182.126464999999,-561.883301,121.053223,23.6044919999995,834413,9.299956,11621,0.393614,6.907455,1.92684,-8.723759,0.145974,0.137104,0.937186695944281,1
12039,5412,22193,1,0,13,1192.197144,22.072334,1,6283.130371,-674.550781,-650.523437,308.068359,140.768066,-115.316894,-357.546875,-15.9296879999993,825811,9.154644,12443,0.401703,6.902917,1.940473,-8.733188,0.149766,0.141735,0.933586820800408,1
