x,y,A128,A129,A130,A347,A361,A362,PMI,fl.5yr.postPML,fl.yr1,fl.yr2,fl.yr3,fl.yr4,fl.yr5,fl.pre.5cell,forest.pre,pop.den.5km.pre,dist.disturb.pre,id,distance,weights
860552,9766661,7378,1800,2415,1,810.6913452,26.9808655,0,0,0,0,0,0,0,6818,851618,0.309998523681631,5246,three5060,0.145926422099684,0.607469512195122
863335,9766661,10122,615,3181,1,658.4663086,1.477087,0,1948,0,0,0,1948,0,26297.9991455,825647,0.371998228417957,3824,three5063,0.0254148473410783,0.607469512195122
860552,9765734,7320,870,1520,1,731.4944458,32.2043686,0,0,0,0,0,0,0,8766.0001068,851618,0.309998523681631,4637,three5182,0.176049924356186,0.607469512195122
862407,9765734,9150,1050,2031,1,631.2802734,4.0312414,0,1948,0,1948,0,0,0,36038.0004883,833439,0.371998228417957,3344,three5184,0.0310440436225078,0.607469512195122
855915,9761096,5092,4246,4213,1,1068.3979492,16.657444,0,0,0,0,0,0,0,0,843015,0.728496530651832,6221,three5831,0.0934176876366137,0.607469512195122
880029,9761096,27185,558,402,0,500,0,0,974,0,974,0,0,0,41882,850644,0.371998228417957,15875,three5857,0.0121494217772534,0.607469512195122
862407,9759242,11141,2444,4191,1,690.7383423,12.4782944,0,18506,15584,1948,0,974,0,57466,829543,0.154999261840815,4147,three6115,0.0198819526702015,0.607469512195122
846640,9757387,5556,3008,8149,1,1526.1192627,23.9690075,0,3896,0,3896,0,0,0,0,834413,0.40299808078612,7477,three6382,0.0320734232560713,0.607469512195122
852205,9757387,5004,2447,8061,1,1403.8105469,16.0459156,0,0,0,0,0,0,0,0,834413,1.28649387327877,6752,three6388,0.0205833645946412,0.607469512195122
854060,9756459,6786,4141,9220,1,1715.3752441,26.5757427,0,0,0,0,0,0,0,1948.0000534,808606,1.20899424235836,8295,three6535,0.0217940120378593,0.607469512195122
855915,9756459,8049,5978,8670,1,1442.8133545,25.5309296,0,0,0,0,0,0,0,2921.9999847,816235,0.852495940124485,9274,three6537,0.0486691562033457,0.607469512195122
854060,9755532,7522,4025,10066,1,1510.923584,18.860487,0,0,0,0,0,0,0,1948.0000534,825811,1.1779943899902,9134,three6681,0.0200110779499782,1.21493902439024
860552,9754604,12847,5916,8766,1,727.0795288,19.3450146,0,0,0,0,0,0,0,11688,851618,0.030999852368163,9134,three6834,0.0785760626563512,0.607469512195122
860552,9749039,16639,7750,9866,1,600,-0.0011906,0,0,0,0,0,0,0,4870.0000534,851618,0.232498892761223,12199,three7755,0.0740845400637559,1.21493902439024
858697,9747184,17086,6759,12049,1,992.8671265,6.649538,0,0,0,0,0,0,0,0,851618,0.356498302233875,10202,three8076,0.0273494205523648,0.607469512195122
859625,9747184,17581,6812,11137,1,899.9970093,0.8761075,0,0,0,0,0,0,0,0,834413,0.232498892761223,10244,three8077,0.0293554860665119,0.607469512195122
860552,9747184,18110,6904,10225,1,758.4629517,9.8833113,0,0,0,0,0,0,0,3896,851618,0.232498892761223,10369,three8078,0.056606135995267,0.607469512195122
863335,9747184,19855,6257,7513,0,695.1971436,21.4841957,0,0,0,0,0,0,0,3895.9999695,851618,0.371998228417957,11206,three8081,0.0122052133847284,0.607469512195122
858697,9746257,17891,5831,12226,1,865.0231934,11.8990841,0,0,0,0,0,0,0,0,843015,0.418498006970202,9274,three8240,0.0265421112083685,2.42987804878049
859625,9746257,18364,5883,11313,1,788.7994995,8.1961393,0,0,0,0,0,0,0,0,825811,0.247998818945305,9321,three8241,0.030341123464042,0.607469512195122
860552,9746257,18871,5989,10402,1,773.2286987,10.9394531,0,0,0,0,0,0,0,3896,843015,0.232498892761223,9458,three8242,0.0417141019056223,1.21493902439024
860552,9745329,19647,5079,10578,1,633.8251953,14.0322094,0,0,0,0,0,0,0,0,834413,0.232498892761223,8550,three8410,0.0421346444742705,1.82240853658537
859625,9744402,19942,4055,11667,1,769.7628784,11.2074423,0,0,0,0,0,0,0,974,843015,0.247998818945305,7477,three8582,0.019450331179728,0.607469512195122
830873,9743474,4266,4368,8142,0,1572.6051025,17.0878429,0,0,0,0,0,0,0,0,791402,0.371998228417957,6558,three8726,0.00158782787466156,0.607469512195122
831800,9743474,4746,4762,9044,0,1793.1717529,26.6474972,0,0,0,0,0,0,0,0,843015,0.371998228417957,7477,three8727,0.00204517996954318,0.607469512195122
832728,9743474,5346,3952,9927,0,1599.3209229,28.378624,0,0,0,0,0,0,0,0,825811,0.371998228417957,8398,three8728,0.0020759947373679,0.607469512195122
859625,9743474,20760,3127,11885,1,777.164856,16.1597652,0,0,0,0,0,0,0,973.9999924,851618,0.247998818945305,6558,three8757,0.0172132492767429,0.607469512195122
866117,9743474,24465,4194,5731,1,586.7584839,6.1866546,0,0,0,0,0,0,0,4870.0001526,851618,0.371998228417957,9859,three8764,0.0899859049741458,1.21493902439024
829945,9742547,4246,3212,7479,0,1557.4801025,27.5211849,1,0,0,0,0,0,0,0,817209,0.418498006970202,5865,three8898,0.00229971808662451,1
830873,9742547,5113,4128,8382,0,1637.7093506,20.0495682,1,0,0,0,0,0,0,0,825811,0.387498154602038,6752,three8899,0.00172172390113323,1
831800,9742547,5526,4425,9277,0,1743.1531982,17.1648884,1,0,0,0,0,0,0,0,817209,0.371998228417957,7648,three8900,0.00128268043634145,1
863335,9742547,23476,3628,8671,1,675.4732056,11.4603662,0,0,0,0,0,0,0,973.9999924,841067,0.371998228417957,7243,three8934,0.0358104159846418,0.607469512195122
829018,9741619,3063,2220,6817,0,1402.8532715,17.6373272,1,7792,0,0,0,0,7792,2922,860220,0.557997342626935,5408,three9069,0.00199782950852381,1
829945,9741619,3971,3150,7718,0,1222.4693604,20.5219517,1,0,0,0,0,0,0,1948,834413,0.480497711706528,6221,three9070,0.00259034052957435,1
830873,9741619,4887,4080,8615,0,1361.3647461,22.8366108,1,0,0,0,0,0,0,0,817209,0.418498006970202,7063,three9071,0.00245038360328954,1
831800,9741619,5808,4268,9517,0,1662.9454346,28.1880951,1,0,0,0,0,0,0,0,782800,0.387498154602038,7924,three9072,0.0017445524841323,1
829018,9740692,2973,2343,7057,0,1062.572876,11.495533,1,0,0,0,0,0,0,2922.0001068,825811,0.650996899731425,5938,three9241,0.00210257561206066,1
829945,9740692,3902,3238,7954,0,1276.7719727,26.5401993,1,0,0,0,0,0,0,1948,834413,0.588997194995098,6688,three9242,0.00303796099500663,1
830873,9740692,4832,4148,8855,0,1487.3537598,25.6136971,1,0,0,0,0,0,0,0,782800,0.511497564074691,7477,three9243,0.00206892056878496,1
831800,9740692,5761,4310,9751,0,1781.5140381,26.4125443,1,0,0,0,0,0,0,0,791402,0.433997933154283,8295,three9244,0.00147892872497739,1
829018,9739764,3160,2784,7291,0,1240.5439453,28.7745285,1,0,0,0,0,0,0,2922.0001068,817209,0.728496530651832,6558,three9413,0.00334196842226629,1
829945,9739764,4046,3570,8192,1,1236.1534424,24.2046471,1,0,0,0,0,0,0,1948,825811,0.666496825915506,7243,three9414,0.0414292455863981,1
830873,9739764,4949,4412,9090,1,1344.4609375,27.0174522,1,0,0,0,0,0,0,0,791402,0.60449712117918,7978,three9415,0.0378198242341852,1
831800,9739764,5860,4547,9990,1,1758.9766846,20.4950504,1,0,0,0,0,0,0,0,774198,0.526997490258772,8749,three9416,0.0167651427253023,1
832728,9739764,6776,3690,10891,1,1991.6663818,13.0463057,0,974,0,0,0,974,0,974,825811,0.449497859338365,9548,three9417,0.00954971892144633,0.607469512195122
828090,9738837,2885,2599,6657,0,1289.8430176,39.3062553,1,974,974,0,0,0,0,2921.9999085,817209,0.774996309204077,6558,three9583,0.00517539089491084,1
829018,9738837,3586,3368,7530,0,1080.3364258,9.1122561,1,974,974,0,0,0,0,2922.0001068,817209,0.774996309204077,7243,three9584,0.00220602340241422,1
829945,9738837,4387,4090,8427,1,1205.3044434,24.389595,1,0,0,0,0,0,0,1948,825811,0.743996456835914,7869,three9585,0.046769374931302,1
830873,9738837,5231,4843,9328,1,1259.1901855,22.4952946,1,0,0,0,0,0,0,0,791402,0.697496678283669,8550,three9586,0.0377069589245902,1
831800,9738837,6100,4949,10227,1,1659.0042725,21.9748878,1,0,0,0,0,0,0,0,782800,0.588997194995098,9274,three9587,0.0215098145344067,1
832728,9738837,6985,4176,11125,1,1921.7720947,13.5670128,1,0,0,0,0,0,0,974,808606,0.511497564074691,10032,three9588,0.010532273735189,1
829018,9737909,4179,3797,7789,0,1142.0983887,16.1954784,1,0,0,0,0,0,0,2922,817209,0.790496235388158,7869,three9755,0.0028556605727767,1
829945,9737909,4884,4640,8672,1,1433.005127,17.2193699,1,0,0,0,0,0,0,1948,825811,0.790496235388158,8550,three9756,0.0316235027323041,1
830873,9737909,5654,5397,9564,1,1501.670166,25.4344807,1,0,0,0,0,0,0,0,808606,0.743996456835914,9181,three9757,0.0375752637967346,1
831800,9737909,6466,5481,10463,1,1620.9125977,16.8115959,1,0,0,0,0,0,0,0,774198,0.650996899731425,9859,three9758,0.0197106912589061,1
832728,9737909,7307,4794,11365,1,1936.1230469,16.72616,1,0,0,0,0,0,0,974,774198,0.557997342626935,10574,three9759,0.0112054663299073,1
830873,9736982,6189,5876,9764,1,1521.8041992,20.6895199,1,0,0,0,0,0,0,0,808606,0.852495940124485,9859,three9926,0.0339985578770785,1
831800,9736982,6939,6109,10693,1,1701.6989746,18.7704887,1,0,0,0,0,0,0,0,791402,0.650996899731425,10493,three9927,0.0230286425496666,1
832728,9736982,7728,5502,11613,1,1896.9405518,25.2347355,1,0,0,0,0,0,0,0,774198,0.588997194995098,11168,three9928,0.0179737995646392,1
828090,9736054,5227,4385,6999,0,1331.8426514,16.3939819,0,0,0,0,0,0,0,0,817209,1.20899424235836,8749,three10092,0.00335489684985862,0.607469512195122
832728,9736054,8233,6267,11615,1,2005.9760742,34.7160416,1,0,0,0,0,0,0,0,774198,0.588997194995098,11804,three10097,0.0266822465864165,1
840148,9733272,15998,1637,15465,1,825.0214844,17.9483795,0,974,974,0,0,0,0,2921.9999847,833439,0.371998228417957,7477,three10615,0.00674881164495024,0.607469512195122
841075,9733272,16824,730,15103,1,711.1751709,15.8903418,1,0,0,0,0,0,0,2921.9999847,850644,0.371998228417957,6558,three10616,0.00629024210239479,1
839220,9732345,15694,2471,15012,1,904.9012451,16.8452816,0,0,0,0,0,0,0,1948.0000534,843015,0.371998228417957,8347,three10785,0.00890942496731835,0.607469512195122
840148,9732345,16458,1594,14624,1,713.9884644,20.1711311,1,0,0,0,0,0,0,1947.9999847,860220,0.371998228417957,7419,three10786,0.0110291374301689,1
847567,9726780,22708,3667,7609,1,994.0922852,8.6878929,1,0,0,0,0,0,0,0,860220,0.371998228417957,5564,three11841,0.0260105862623227,1
848495,9726780,23624,4534,7771,1,1144.4512939,12.9090023,1,0,0,0,0,0,0,0,817209,0.371998228417957,5641,three11842,0.0236657671137235,1
849422,9726780,24541,5423,7989,1,1200,0,1,0,0,0,0,0,0,0,825811,0.371998228417957,5865,three11843,0.0159681832412194,1
847567,9725852,22562,3400,6686,1,882.9211426,8.5090256,1,0,0,0,0,0,0,0,860220,0.371998228417957,6492,three12020,0.0394012773036838,1
848495,9725852,23484,4315,6868,1,1130.3199463,14.1168318,1,0,0,0,0,0,0,0,860220,0.371998228417957,6558,three12021,0.0395529397697742,1
849422,9725852,24406,5235,7086,1,1200,0,1,0,0,0,0,0,0,0,825811,0.371998228417957,6752,three12022,0.0217156475171734,1
844785,9724925,19678,510,5968,1,600,0,1,0,0,0,0,0,0,4870.0000534,858272,0.371998228417957,7924,three12195,0.0363157946865174,1
845713,9724925,20603,1440,5761,1,721.6876221,12.786869,1,0,0,0,0,0,0,974,860220,0.371998228417957,7648,three12196,0.0605699790742155,1
846640,9724925,21528,2370,5700,1,800.0070801,0.7549667,1,0,0,0,0,0,0,0,843015,0.371998228417957,7477,three12197,0.0393462234595386,1
847567,9724925,22454,3300,5766,1,854.0686035,10.996253,1,0,0,0,0,0,0,0,834413,0.371998228417957,7419,three12198,0.0555270499702587,1
848495,9724925,23379,4230,5961,1,1006.5072021,19.3978024,1,0,0,0,0,0,0,0,843015,0.371998228417957,7477,three12199,0.0693740938787849,1
849422,9724925,24306,5160,6185,1,1200,0,1,0,0,0,0,0,0,0,834413,0.371998228417957,7648,three12200,0.0308562005892226,1
843858,9723997,18670,330,5464,1,597.4140625,0.9282874,1,974,974,0,0,0,0,2922.0000534,860220,0.371998228417957,9134,three12374,0.0517305429552859,1
844785,9723997,19598,573,5087,1,600,0,1,0,0,0,0,0,0,2922.0000534,851618,0.371998228417957,8798,three12375,0.0512241594111205,1
845713,9723997,20526,1501,4843,1,652.0853271,6.5604382,1,1948,0,1948,0,0,0,2922,860220,0.371998228417957,8550,three12376,0.070555956193183,1
846640,9723997,21455,2379,4770,1,793.7073975,9.1836271,1,0,0,0,0,0,0,1948,851618,0.371998228417957,8398,three12377,0.0724028784493697,1
847567,9723997,22383,3253,4848,1,843.1107178,11.7699137,1,0,0,0,0,0,0,0,860220,0.371998228417957,8347,three12378,0.0864035367207396,1
848495,9723997,23312,4122,5057,1,985.9022217,11.2523451,1,974,0,0,0,974,0,0,860220,0.371998228417957,8398,three12379,0.0778445629342517,1
849422,9723997,24241,4990,5293,1,1120.9366455,25.574213,1,0,0,0,0,0,0,0,843015,0.371998228417957,8550,three12380,0.108665794544054,1
842930,9723070,17702,1404,5102,1,880.2698364,10.915863,1,0,0,0,0,0,0,2922,834413,0.371998228417957,9321,three12553,0.0639592369681344,1
843858,9723070,18632,531,4628,1,711.2173462,13.4031887,1,974,0,0,0,974,0,2922.0001068,834413,0.371998228417957,9989,three12554,0.0878719713256934,1
844785,9723070,19562,313,4228,1,505.3125,6.7789464,1,0,0,0,0,0,0,2922.0001068,843015,0.371998228417957,9683,three12555,0.0899638425928581,1
