A128,A129,A130,A154,A347,A361,A362,PMI,toPeru.km,fl.5yr.postPML,fl.yr1,fl.yr2,fl.yr3,fl.yr4,fl.yr5,fl.pre.5cell,forest.pre,pop.den.5km.pre,dist.disturb.pre,id,distance,weights
17025,2321,8230,1,1,1323.918091,9.251354,0,27.6694,0,0,0,0,0,0,1948,834413,1.611992,7419,three20542,0.077688832653725,1.32559425096739
14234,1800,510,1,0,471.926514,11.481907,0,19.29962,0,0,0,0,0,0,35064.001283,843015,0.418498,21332,three20557,0.0542189732605887,0.662797125483693
11579,576,445,1,1,300,0,0,15.54741,0,0,0,0,0,0,35064.000974,855350,0.371998,20488,three20566,0.616816943828049,1.98839137645108
8143,313,5919,1,0,256.044647,5.337278,0,12.37413,29220,3896,2922,0,13636,8766,48699.998778,851618,0.356498,10369,three20577,0.0388396042583623,0.662797125483693
10533,3663,11100,1,1,1539.822144,17.431768,0,32.19573,0,0,0,0,0,0,974,800004,8.152961,1311,three20670,0.00516968902187711,0.662797125483693
13850,825,1698,1,0,341.921997,11.113361,0,19.09799,2922,0,974,0,1948,0,28245.999333,860220,0.402998,20425,three20693,0.0785513131092437,0.662797125483693
8056,2305,4298,1,0,552.257996,22.306078,0,12.05725,1948,1948,0,0,0,0,37012.000852,834413,0.356498,12092,three20712,0.0608303423221682,0.662797125483693
7825,1491,4908,1,0,296.271423,4.128542,0,11.7318,13636,0,0,2922,3896,6818,40907.999508,860220,0.356498,11168,three20713,0.046947235162796,0.662797125483693
14031,5665,12322,1,1,1413.479492,9.031998,0,29.12348,0,0,0,0,0,0,1948.000053,800004,3.084485,3344,three20808,0.01967975943254,0.662797125483693
7120,3549,2989,1,0,536.603638,11.395577,0,11.4723,0,0,0,0,0,0,16558,860220,0.371998,12984,three20845,0.085713694819212,0.662797125483693
7128,2696,3595,1,0,435.532654,12.782633,0,11.20679,0,0,0,0,0,0,32142.000246,834413,0.356498,12057,three20846,0.0637744924513035,0.662797125483693
7079,1902,4207,1,0,326.443451,8.556616,0,10.85588,10714,0,7792,0,2922,0,35063.999026,851454,0.356498,11129,three20847,0.0634829101765957,0.662797125483693
12775,684,3510,1,0,419.579132,15.697552,0,18.00841,15584,13636,0,0,0,1948,28246,846748,0.294499,19499,three20957,0.0772613694157672,0.662797125483693
13546,4525,11896,1,1,1264.203003,10.093729,0,28.26914,0,0,0,0,0,0,0,834413,1.828991,1854,three21068,0.0507013831222827,0.662797125483693
13190,1416,5566,1,0,652.740051,18.183228,0,18.40996,6818,0,0,2922,0,3896,19480.000852,833439,0.108499,17622,three21085,0.0559322805556399,0.662797125483693
14553,5057,10860,1,1,1200.400391,1.776871,0,26.96082,0,0,0,0,0,0,0,834413,0.883496,2932,three21197,0.0610346485985066,0.662797125483693
12827,1745,6842,1,0,979.798096,20.018351,0,18.36318,0,0,0,0,0,0,6818.000053,843015,0.062,16720,three21212,0.0487418572545959,0.662797125483693
11323,2343,4178,1,0,999.135681,45.974972,0,16.51332,0,0,0,0,0,0,11688,843015,0.340998,19499,three21215,0.136359721064736,0.662797125483693
7267,150,3536,1,0,280.423523,1.228538,0,11.6213,974,0,0,974,0,0,60388,827595,0.356498,21512,three21225,0.0489251389973998,0.662797125483693
15306,5831,9794,1,1,1200,0.200118,0,25.65284,0,0,0,0,0,0,0,817209,0.542497,4147,three21323,0.065371077754089,0.662797125483693
12033,2620,7109,1,1,1195.730713,21.538504,0,17.71949,0,0,0,0,0,0,974,834413,0.062,16797,three21337,0.484931275333628,0.662797125483693
6112,646,4414,1,1,280,0,0,10.36955,2922,0,0,0,0,2922,54543.999508,848696,0.371998,20739,three21351,0.564933508072068,0.662797125483693
