A128,A129,A130,A154,A347,A361,A362,PML,fl.5yr.postPML,fl.yr1,fl.yr2,fl.yr3,fl.yr4,fl.yr5,fl.pre.5cell,forest.pre,pop.den.5km.pre,dist.disturb.pre,id,toPeru.within10km,distance,weights
37929,3126,8425,1,0,320,0,1,0,0,0,0,0,0,0,860220,0.435935,14035,two14118,0,0.00188194941002459,1
38315,3002,7511,1,0,320,0,1,0,0,0,0,0,0,0,860220,0.096875,13116,two14119,0,0.00141799891337698,1
38719,2795,6594,1,0,320,0,1,0,0,0,0,0,0,0,860220,0,12199,two14120,0,0.0010482173146936,1
39142,2284,5677,1,0,323.519653,5.142247,1,0,0,0,0,0,0,0,860220,0,11283,two14121,0,0.00115914874190933,1
39582,1398,4760,1,0,393.726044,6.822841,1,0,0,0,0,0,0,7792,843015,0,10369,two14122,0,0.000546366074420685,1
40038,591,3847,1,0,310.253052,10.250711,1,1948,0,0,0,1948,0,7791.999939,860220,0,9458,two14123,0,0.000601723399531784,1
35417,4203,12606,1,0,321.048248,2.888916,0,0,0,0,0,0,0,1948,860220,4.553103,18572,two14326,0,0.00932701202672315,0.310344827586207
36025,3750,10993,1,0,319.708221,0.99866,0,0,0,0,0,0,0,0,860220,2.567175,16720,two14328,0,0.00495481342510766,1.55172413793103
36349,3603,10105,1,0,320,0,1,0,0,0,0,0,0,0,860220,1.985928,15794,two14329,0,0.00343298807049654,1
36705,3671,9188,1,0,319.904816,0.575078,1,1948,0,0,0,1948,0,0,860220,1.549993,14868,two14330,0,0.00284474752648804,1
37080,3960,8270,1,0,320,0,1,0,0,0,0,0,0,0,860220,0.774996,13943,two14331,0,0.00221901734309285,1
37475,3882,7353,1,0,320,0,1,0,0,0,0,0,0,0,860220,0.242186,13017,two14332,0,0.00168633741701381,1
37889,3155,6436,1,0,320,0,1,0,0,0,0,0,0,0,860220,0.096875,12092,two14333,0,0.00111400090874025,1
38320,2227,5519,1,0,357.688202,14.56635,1,0,0,0,0,0,0,0,860220,0.096875,11168,two14334,0,0.00260354561448799,1
38769,1302,4601,1,0,320,0,1,0,0,0,0,0,0,7792,860220,0.048437,10244,two14335,0,0.000346314733968051,1
39235,390,3684,1,0,320.054199,0.867993,1,7792,0,0,974,2922,3896,7791.999939,860220,0,9321,two14336,0,0.000237475979553649,1
34532,5067,12073,1,0,302.385406,3.531894,0,0,0,0,0,0,0,9740,860220,4.892164,18549,two14538,0,0.00797094065364958,0.310344827586207
34833,4833,11306,1,0,319.673492,1.130198,1,0,0,0,0,0,0,0,860220,4.117168,17622,two14539,0,0.00673859275393732,1
35155,4650,10565,1,0,300.747986,2.667233,1,0,0,0,0,0,0,0,860220,3.051548,16694,two14540,0,0.00626141757953147,1
35488,4532,9878,1,0,319.148621,0.579959,1,0,0,0,0,0,0,0,860220,2.373426,15767,two14541,0,0.00420952807250441,1
35852,4586,9030,1,0,312.994141,6.877068,1,0,0,0,0,0,0,0,860220,1.937491,14839,two14542,0,0.00605387810326441,1
36236,4821,8114,1,0,320.073944,0.670021,1,0,0,0,0,0,0,0,860220,1.162494,13912,two14543,0,0.00277659305274457,1
36640,3982,7200,1,0,311.623383,6.763337,1,0,0,0,0,0,0,0,860220,0.678122,12984,two14544,0,0.00315141523101,1
37063,3058,6283,1,0,339.865936,12.337382,1,0,0,0,0,0,0,974,860220,0.53281,12057,two14545,0,0.00315489101469297,1
