A128,A129,A130,A154,A347,A361,A362,PML,fl.5yr.postPML,fl.yr1,fl.yr2,fl.yr3,fl.yr4,fl.yr5,fl.pre.5cell,forest.pre,pop.den.5km.pre,dist.disturb.pre,id,distance,weights,x,y,long,lat
42478,182,5158,1,0,341.8496399,11.3754225,1,0,0,0,0,0,0,0,860220,1.45311807975764,10369,two13526,0.0009085266160257,1,890232,9718432,-77.4918546259111,-2.54261445401757
40006,1443,7931,1,0,317.7839966,2.4342811,0,0,0,0,0,0,0,9740.0003052,860220,0.726559039878822,13504,two13715,0.000953847846853797,0.67538644470868,886522,9717505,-77.5251425642928,-2.55108064714355
40394,947,7058,1,0,305.1044922,8.1641245,1,0,0,0,0,0,0,8765.9998169,860220,1.01718265583035,12615,two13716,0.00112737425171956,1,887449,9717505,-77.5168147965999,-2.5510579827066
40799,1055,6202,1,0,289.1048889,6.0920038,1,0,0,0,0,0,0,8765.9998169,860220,1.11405719448086,11731,two13717,0.000749125492183923,1,888377,9717505,-77.5084871032243,-2.55103526428532
41221,1282,5370,1,0,318.948822,2.3440769,1,0,0,0,0,0,0,8766,860220,0.968745386505096,10855,two13718,0.000436270447627904,1,889304,9717505,-77.5001594843429,-2.55101249188209
41660,780,4576,1,0,311.5904236,10.566906,1,1948,0,0,1948,0,0,0,834413,0.678121770553567,9989,two13719,0.00067055630802859,1,890232,9717505,-77.4918319401324,-2.55098966549932
42114,134,3844,1,0,285.1919861,8.1158247,0,5844,0,0,0,5844,0,1948,851618,0.435935423927293,9134,two13720,0.000411758818043143,0.33769322235434,891159,9717505,-77.4835044707696,-2.55096678513942
38422,1883,9502,1,0,318.1056213,0.7925223,0,0,0,0,0,0,0,0,860220,0.678121770553567,15098,two13911,0.00198323036494538,2.02615933412604,884667,9716577,-77.5417758838862,-2.55950147180382
38781,2313,8589,1,0,320,0,1,0,0,0,0,0,0,5844,860220,0.242186346626274,14187,two13912,0.00130724145547373,1,885594,9716577,-77.5334479143182,-2.55947884119262
39159,2166,7679,1,0,320,0,1,0,0,0,0,0,0,5844,860220,0.09687453865051,13279,two13913,0.000959332715828638,1,886522,9716577,-77.5251200187162,-2.55945615641481
39555,1868,6774,1,0,313.8479919,3.6881089,1,0,0,0,0,0,0,5844,860220,0.09687453865051,12374,two13914,0.000947834707765373,1,887449,9716577,-77.5167921972572,-2.55943341747279
39968,1965,5876,1,0,313.6319275,7.99296,1,0,0,0,0,0,0,5844,860220,0.09687453865051,11472,two13915,0.00108409652099004,1,888377,9716577,-77.508464450118,-2.55941062436898
40399,1652,4990,1,0,392.17453,6.5669017,1,0,0,0,0,0,0,13636,860220,0.09687453865051,10574,two13916,0.00052677129193223,1,889304,9716577,-77.5001367774753,-2.55938777710577
40846,725,4124,1,0,298.0037842,11.7906237,1,0,0,0,0,0,0,7792,860220,0.09687453865051,9683,two13917,0.000639429414368901,1,890232,9716577,-77.4918091795059,-2.55936487568557
37214,2674,10258,1,0,305.5914612,6.3939266,0,0,0,0,0,0,0,0,860220,1.59842988773341,15875,two14116,0.00506929969095733,0.33769322235434,883739,9715650,-77.5500814693669,-2.56789977867439
37562,2765,9341,1,0,320,0,1,0,0,0,0,0,0,0,860220,1.11405719448086,14955,two14117,0.00221280078488343,1,884667,9715650,-77.5417533720596,-2.56787712825861
37929,3126,8425,1,0,320,0,1,0,0,0,0,0,0,0,860220,0.435935423927293,14035,two14118,0.00182135278887231,1,885594,9715650,-77.5334253485439,-2.56785442349636
38315,3002,7511,1,0,320,0,1,0,0,0,0,0,0,0,860220,0.09687453865051,13116,two14119,0.00134198888203805,1,886522,9715650,-77.5250973989967,-2.56783166439003
38719,2795,6594,1,0,320,0,1,0,0,0,0,0,0,0,860220,0,12199,two14120,0.000969042867125386,1,887449,9715650,-77.5167695235949,-2.56780885094203
