A128,A129,A130,A154,A347,A361,A362,PMI,fl.5yr.postPML,fl.yr1,fl.yr2,fl.yr3,fl.yr4,fl.yr5,fl.pre.5cell,forest.pre,pop.den.5km.pre,dist.disturb.pre,id,distance,weights,x,y,long,lat
6696,1324,3620,1,0,246.0754395,3.0473442,0,0,0,0,0,0,0,10713.9997559,860220,0.678121770553567,8295,four20298,0.050742583099782,3.59867330016584,861480,9685043,-77.749240194437,-2.84488227124085
17401,1039,7015,1,1,1066.0341797,32.954216,0,0,0,0,0,0,0,0,817209,1.79217896503443,8398,four20403,0.0504310804458497,0.719734660033168,827163,9684116,-78.0575390003716,-2.8540946598163
18239,375,6689,1,1,983.1140137,18.810297,0,0,0,0,0,0,0,0,817209,1.16249446380611,9321,four20404,0.042372836677159,0.719734660033168,828090,9684116,-78.049204792064,-2.85407318184479
15071,2730,692,1,0,377.3758545,14.7736139,0,49674,0,6818,5844,1948,35064,41881.998291,815097,0.823433578529332,21352,four20417,0.047890612658136,0.719734660033168,840148,9684116,-77.9408658874929,-2.85378846055298
11560,2613,1429,1,1,391.249115,6.9483781,0,0,0,0,0,0,0,19479.9991455,860220,1.06561992515561,18757,four20428,0.419133141785179,2.87893864013267,850350,9684116,-77.8492031200228,-2.85353955596573
2460,60,1922,1,0,202.0230713,0.7635145,0,974,0,0,974,0,0,41881.9986878,848696,0.871870847854587,3344,four20446,0.0198791676325502,0.719734660033168,867045,9684116,-77.6992271794304,-2.85311647469181
7865,1623,8370,1,1,1672.9910889,27.3539104,0,0,0,0,0,0,0,2921.9999085,774198,27.8998671313468,3709,four20530,3.18679327656387e-05,0.719734660033168,815106,9683188,-78.1658687880656,-2.86274902970698
8551,2473,9300,1,1,1654.5727539,20.8558502,0,0,0,0,0,0,0,5843.9999085,797082,28.8686125178519,2782,four20531,1.72383456561824e-05,0.719734660033168,816033,9683188,-78.1575337157567,-2.86272827802105
17025,2321,8230,1,1,1323.9180908,9.2513542,0,0,0,0,0,0,0,0,834413,3.92341881534564,7419,four20542,0.00643855282047481,0.719734660033168,826235,9683188,-78.0658519694789,-2.86249600111851
15616,1699,3270,1,0,618.2967529,31.1812782,0,0,0,0,0,0,0,20453.9991302,851618,0.774996309204077,18549,four20554,0.0562595418971001,0.719734660033168,837365,9683188,-77.9658441813173,-2.86223422950842
14653,1731,1410,1,0,548.7797852,14.0773268,0,9740,0,0,0,0,9740,29219.9991455,860220,0.823433578529332,20404,four20556,0.04480374741164,1.43946932006634,839220,9683188,-77.9491771161157,-2.86218975116874
18730,1357,8427,1,1,1060.5350342,19.5900459,0,0,0,0,0,0,0,0,815261,1.16249446380611,9321,four20681,0.0287669434593701,0.719734660033168,828090,9682261,-78.049161883648,-2.87083277589707
13850,825,1698,1,0,341.9219971,11.1133614,0,2922,974,0,1948,0,0,28246,860220,0.774996309204077,20425,four20693,0.0661607741198325,0.719734660033168,839220,9682261,-77.9491549049096,-2.87056877566523
